k, tipo, b, n, tiempo
4, binario, 131072, 17, 1.09116500
4, binomial, 131072, 17, 1.75581600
4, binario, 262144, 18, 3.22654700
4, binomial, 262144, 18, 95.33635000
4, binario, 524288, 19, 6.34363000
4, binomial, 524288, 19, 10.12449800
5, binario, 2, 1, 0.00066800
5, binomial, 2, 1, 0.00009300
5, binario, 4, 2, 0.00004200
5, binomial, 4, 2, 0.00019700
5, binario, 8, 3, 0.00191400
5, binomial, 8, 3, 0.00043000
5, binario, 16, 4, 0.00020900
5, binomial, 16, 4, 0.00060200
5, binario, 32, 5, 0.00298500
5, binomial, 32, 5, 0.00092600
5, binario, 64, 6, 0.00631800
5, binomial, 64, 6, 0.00129300
5, binario, 128, 7, 0.01197200
5, binomial, 128, 7, 0.00155900
5, binario, 256, 8, 0.01442800
5, binomial, 256, 8, 0.00299400
5, binario, 512, 9, 0.01809400
5, binomial, 512, 9, 0.00551400
5, binario, 1024, 10, 0.04254600
5, binomial, 1024, 10, 0.01545500
5, binario, 2048, 11, 0.04064500
5, binomial, 2048, 11, 0.01990200
5, binario, 4096, 12, 0.05277800
5, binomial, 4096, 12, 0.04878600
5, binario, 8192, 13, 0.06710900
5, binomial, 8192, 13, 0.08823900
5, binario, 16384, 14, 0.14109100
5, binomial, 16384, 14, 0.17404700
5, binario, 32768, 15, 0.26548400
5, binomial, 32768, 15, 0.36850600
5, binario, 65536, 16, 0.52654600
5, binomial, 65536, 16, 0.73224000
5, binario, 131072, 17, 1.08133900
5, binomial, 131072, 17, 1.59442500
5, binario, 262144, 18, 3.33020700
5, binomial, 262144, 18, 144.86844100
5, binario, 524288, 19, 6.39758300
5, binomial, 524288, 19, 9.37742100
6, binario, 2, 1, 0.00050700
6, binomial, 2, 1, 0.00011500
6, binario, 4, 2, 0.00044800
6, binomial, 4, 2, 0.00013200
6, binario, 8, 3, 0.00121000
6, binomial, 8, 3, 0.00028700
6, binario, 16, 4, 0.00170700
6, binomial, 16, 4, 0.00038300
6, binario, 32, 5, 0.00324600
6, binomial, 32, 5, 0.00082100
6, binario, 64, 6, 0.00374700
6, binomial, 64, 6, 0.00109700
6, binario, 128, 7, 0.01313400
6, binomial, 128, 7, 0.00179100
6, binario, 256, 8, 0.01594600
6, binomial, 256, 8, 0.00717600
6, binario, 512, 9, 0.02456100
6, binomial, 512, 9, 0.00606600
6, binario, 1024, 10, 0.02611700
6, binomial, 1024, 10, 0.01499300
6, binario, 2048, 11, 0.03866000
6, binomial, 2048, 11, 0.02586200
6, binario, 4096, 12, 0.04853900
6, binomial, 4096, 12, 0.05901100
6, binario, 8192, 13, 0.06796400
6, binomial, 8192, 13, 0.08822200
6, binario, 16384, 14, 0.12706600
6, binomial, 16384, 14, 0.19087200
6, binario, 32768, 15, 0.29069400
6, binomial, 32768, 15, 0.37950600
6, binario, 65536, 16, 0.53748900
6, binomial, 65536, 16, 0.78269500
6, binario, 131072, 17, 1.10437000
6, binomial, 131072, 17, 1.67201300
6, binario, 262144, 18, 3.66456600
6, binomial, 262144, 18, 177.89976700
6, binario, 524288, 19, 8.25759600
6, binomial, 524288, 19, 12.10300000
7, binario, 2, 1, 0.00012800
7, binomial, 2, 1, 0.00007300
7, binario, 4, 2, 0.00009000
7, binomial, 4, 2, 0.00016200
7, binario, 8, 3, 0.00159100
7, binomial, 8, 3, 0.00034900
7, binario, 16, 4, 0.00271200
7, binomial, 16, 4, 0.00060200
7, binario, 32, 5, 0.00371200
7, binomial, 32, 5, 0.00046900
7, binario, 64, 6, 0.00471200
7, binomial, 64, 6, 0.00100600
7, binario, 128, 7, 0.01158200
7, binomial, 128, 7, 0.00329800
7, binario, 256, 8, 0.02280200
7, binomial, 256, 8, 0.00517900
7, binario, 512, 9, 0.03354700
7, binomial, 512, 9, 0.00496800
7, binario, 1024, 10, 0.02758200
7, binomial, 1024, 10, 0.01800200
7, binario, 2048, 11, 0.05213400
7, binomial, 2048, 11, 0.02727400
7, binario, 4096, 12, 0.04363700
7, binomial, 4096, 12, 0.05393900
7, binario, 8192, 13, 0.07400500
7, binomial, 8192, 13, 0.09584500
7, binario, 16384, 14, 0.14030300
7, binomial, 16384, 14, 0.19619400
7, binario, 32768, 15, 0.27636900
7, binomial, 32768, 15, 0.41007400
7, binario, 65536, 16, 0.55475200
7, binomial, 65536, 16, 0.84118200
7, binario, 131072, 17, 1.17478200
7, binomial, 131072, 17, 1.84239000
7, binario, 262144, 18, 3.45392200
7, binomial, 262144, 18, 3.72319900
7, binario, 524288, 19, 6.56052100
7, binomial, 524288, 19, 248.58218500
8, binario, 2, 1, 0.00236000
8, binomial, 2, 1, 0.00049200
8, binario, 4, 2, 0.00019200
8, binomial, 4, 2, 0.00032000
8, binario, 8, 3, 0.00009300
8, binomial, 8, 3, 0.00029000
8, binario, 16, 4, 0.00131800
8, binomial, 16, 4, 0.00059200
8, binario, 32, 5, 0.00048200
8, binomial, 32, 5, 0.00100100
8, binario, 64, 6, 0.00085300
8, binomial, 64, 6, 0.00114400
8, binario, 128, 7, 0.00158500
8, binomial, 128, 7, 0.00181400
8, binario, 256, 8, 0.00292800
8, binomial, 256, 8, 0.00247000
8, binario, 512, 9, 0.00759400
8, binomial, 512, 9, 0.01895400
8, binario, 1024, 10, 0.00956200
8, binomial, 1024, 10, 0.00999700
8, binario, 2048, 11, 0.01966800
8, binomial, 2048, 11, 0.02467500
8, binario, 4096, 12, 0.04679200
8, binomial, 4096, 12, 0.04586000
8, binario, 8192, 13, 0.08407600
8, binomial, 8192, 13, 0.09766000
8, binario, 16384, 14, 0.15981400
8, binomial, 16384, 14, 0.21181800
8, binario, 32768, 15, 0.38717600
8, binomial, 32768, 15, 0.53306200
8, binario, 65536, 16, 0.71433700
8, binomial, 65536, 16, 1.01688000
8, binario, 131072, 17, 2.05904500
8, binomial, 131072, 17, 1.93714000
8, binario, 262144, 18, 4.12743800
8, binomial, 262144, 18, 4.92647200
8, binario, 524288, 19, 7.84007300
8, binomial, 524288, 19, 10.82237500
9, binario, 2, 1, 0.00016900
9, binomial, 2, 1, 0.00006600
9, binario, 4, 2, 0.00004500
9, binomial, 4, 2, 0.00007600
9, binario, 8, 3, 0.00005800
9, binomial, 8, 3, 0.00147400
9, binario, 16, 4, 0.00162900
9, binomial, 16, 4, 0.00036000
9, binario, 32, 5, 0.00210300
9, binomial, 32, 5, 0.00099900
9, binario, 64, 6, 0.00267800
9, binomial, 64, 6, 0.00103500
9, binario, 128, 7, 0.00215500
9, binomial, 128, 7, 0.00205500
9, binario, 256, 8, 0.00420500
9, binomial, 256, 8, 0.00297100
9, binario, 512, 9, 0.00920800
9, binomial, 512, 9, 0.00441800
9, binario, 1024, 10, 0.02822900
9, binomial, 1024, 10, 0.01146400
9, binario, 2048, 11, 0.03018700
9, binomial, 2048, 11, 0.02247700
9, binario, 4096, 12, 0.06236200
9, binomial, 4096, 12, 0.04427700
9, binario, 8192, 13, 0.07290700
9, binomial, 8192, 13, 0.09351200
9, binario, 16384, 14, 0.14134000
9, binomial, 16384, 14, 0.18990000
9, binario, 32768, 15, 0.27120500
9, binomial, 32768, 15, 0.40897500
9, binario, 65536, 16, 0.56307400
9, binomial, 65536, 16, 0.80857600
9, binario, 131072, 17, 1.20171000
9, binomial, 131072, 17, 1.69669800
9, binario, 262144, 18, 4.12957600
