k, metodo, b, n, tiempo
5, ordenamiento, 16, 4, 0.00009500
5, ingenuo, 32, 5, 0.00007300
5, ordenamiento, 32, 5, 0.00021600
5, ingenuo, 64, 6, 0.00027600
5, ordenamiento, 64, 6, 0.00042100
5, ingenuo, 128, 7, 0.00105800
5, ordenamiento, 128, 7, 0.00089600
5, ingenuo, 256, 8, 0.00429700
5, ordenamiento, 256, 8, 0.00196900
5, ingenuo, 512, 9, 0.01778300
5, ordenamiento, 512, 9, 0.00489500
5, ingenuo, 1024, 10, 0.07544800
5, ordenamiento, 1024, 10, 0.00934800
5, ingenuo, 2048, 11, 0.30870100
5, ordenamiento, 2048, 11, 0.02028600
5, ingenuo, 4096, 12, 1.32075600
5, ordenamiento, 4096, 12, 0.04574200
5, ingenuo, 8192, 13, 5.81159900
5, ordenamiento, 8192, 13, 0.10644100
5, ingenuo, 16384, 14, 28.32697100
5, ordenamiento, 16384, 14, 0.24269400
5, ingenuo, 32768, 15, 130.54941800
5, ordenamiento, 32768, 15, 0.59725000
6, ingenuo, 2, 1, 0.00000900
6, ordenamiento, 2, 1, 0.00002300
6, ingenuo, 4, 2, 0.00001100
6, ordenamiento, 4, 2, 0.00002700
6, ingenuo, 8, 3, 0.00001200
6, ordenamiento, 8, 3, 0.00005300
6, ingenuo, 16, 4, 0.00003300
6, ordenamiento, 16, 4, 0.00009600
6, ingenuo, 32, 5, 0.00007200
6, ordenamiento, 32, 5, 0.00021200
6, ingenuo, 64, 6, 0.00029000
6, ordenamiento, 64, 6, 0.00042100
6, ingenuo, 128, 7, 0.00103500
6, ordenamiento, 128, 7, 0.00088900
6, ingenuo, 256, 8, 0.00419500
6, ordenamiento, 256, 8, 0.00192400
6, ingenuo, 512, 9, 0.01877400
6, ordenamiento, 512, 9, 0.00501100
6, ingenuo, 1024, 10, 0.08320800
6, ordenamiento, 1024, 10, 0.01078000
6, ingenuo, 2048, 11, 0.30605800
6, ordenamiento, 2048, 11, 0.02026200
6, ingenuo, 4096, 12, 1.32602700
6, ordenamiento, 4096, 12, 0.04555500
6, ingenuo, 8192, 13, 5.77905200
6, ordenamiento, 8192, 13, 0.10331100
6, ingenuo, 16384, 14, 28.69395500
6, ordenamiento, 16384, 14, 0.24835500
6, ingenuo, 32768, 15, 129.91640200
6, ordenamiento, 32768, 15, 0.59699000
7, ingenuo, 2, 1, 0.00002200
7, ordenamiento, 2, 1, 0.00002200
7, ingenuo, 4, 2, 0.00001000
7, ordenamiento, 4, 2, 0.00002000
7, ingenuo, 8, 3, 0.00001200
7, ordenamiento, 8, 3, 0.00007200
7, ingenuo, 16, 4, 0.00002600
7, ordenamiento, 16, 4, 0.00008400
7, ingenuo, 32, 5, 0.00008100
7, ordenamiento, 32, 5, 0.00021200
7, ingenuo, 64, 6, 0.00026900
7, ordenamiento, 64, 6, 0.00042000
7, ingenuo, 128, 7, 0.00176800
7, ordenamiento, 128, 7, 0.00116400
7, ingenuo, 256, 8, 0.00447700
7, ordenamiento, 256, 8, 0.00197200
7, ingenuo, 512, 9, 0.02048600
7, ordenamiento, 512, 9, 0.00497400
7, ingenuo, 1024, 10, 0.07607400
7, ordenamiento, 1024, 10, 0.00941400
7, ingenuo, 2048, 11, 0.33130200
7, ordenamiento, 2048, 11, 0.02048700
7, ingenuo, 4096, 12, 1.38405800
7, ordenamiento, 4096, 12, 0.04704100
7, ingenuo, 8192, 13, 5.75756800
7, ordenamiento, 8192, 13, 0.10380200
7, ingenuo, 16384, 14, 28.59267900
7, ordenamiento, 16384, 14, 0.24161500
7, ingenuo, 32768, 15, 131.32565300
7, ordenamiento, 32768, 15, 0.75598400
8, ingenuo, 2, 1, 0.00001300
8, ordenamiento, 2, 1, 0.00001500
8, ingenuo, 4, 2, 0.00001500
8, ordenamiento, 4, 2, 0.00003100
8, ingenuo, 8, 3, 0.00001300
8, ordenamiento, 8, 3, 0.00005900
8, ingenuo, 16, 4, 0.00002700
8, ordenamiento, 16, 4, 0.00013400
8, ingenuo, 32, 5, 0.00007400
8, ordenamiento, 32, 5, 0.00021100
8, ingenuo, 64, 6, 0.00026500
8, ordenamiento, 64, 6, 0.00043000
8, ingenuo, 128, 7, 0.00104800
8, ordenamiento, 128, 7, 0.00089000
8, ingenuo, 256, 8, 0.00894300
8, ordenamiento, 256, 8, 0.00413800
8, ingenuo, 512, 9, 0.02162400
8, ordenamiento, 512, 9, 0.00617600
8, ingenuo, 1024, 10, 0.10309000
8, ordenamiento, 1024, 10, 0.00986000
8, ingenuo, 2048, 11, 0.51511000
8, ordenamiento, 2048, 11, 0.02359300
8, ingenuo, 4096, 12, 2.04443300
8, ordenamiento, 4096, 12, 0.06262700
8, ingenuo, 8192, 13, 8.22228500
8, ordenamiento, 8192, 13, 0.12031400
8, ingenuo, 16384, 14, 39.79739500
8, ordenamiento, 16384, 14, 0.26925300
8, ingenuo, 32768, 15, 155.93815400
8, ordenamiento, 32768, 15, 0.59850800
9, ingenuo, 2, 1, 0.00000900
9, ordenamiento, 2, 1, 0.00001300
9, ingenuo, 4, 2, 0.00001100
9, ordenamiento, 4, 2, 0.00002400
9, ingenuo, 8, 3, 0.00001100
9, ordenamiento, 8, 3, 0.00003500
9, ingenuo, 16, 4, 0.00002800
