k,method,type,a,b,n,time
3,ie,it,1000,1048576,20,1.63466800
3,ie,re,1000,1048576,20,1.63631100
3,ie,it,1000,2097152,21,4.89652500
3,ie,re,1000,2097152,21,4.96042800
3,ie,it,1000,4194304,22,14.76199900
3,ie,re,1000,4194304,22,14.74804400
3,ie,it,1000,8388608,23,45.13673700
3,ie,re,1000,8388608,23,45.06755600
3,ie,it,1000,16777216,24,134.09654600
3,ie,re,1000,16777216,24,135.06168800
4,ie,it,1000,2,1,0.00004400
4,ie,re,1000,2,1,0.00002000
4,ie,it,1000,4,2,0.00001100
4,ie,re,1000,4,2,0.00000600
4,ie,it,1000,8,3,0.00001500
4,ie,re,1000,8,3,0.00000600
4,ie,it,1000,16,4,0.00000500
4,ie,re,1000,16,4,0.00000400
4,ie,it,1000,32,5,0.00000400
4,ie,re,1000,32,5,0.00000500
4,ie,it,1000,64,6,0.00003700
4,ie,re,1000,64,6,0.00001800
4,ie,it,1000,128,7,0.00000600
4,ie,re,1000,128,7,0.00000600
4,ie,it,1000,256,8,0.00000700
4,ie,re,1000,256,8,0.00000900
4,ie,it,1000,512,9,0.00002600
4,ie,re,1000,512,9,0.00001900
4,ie,it,1000,1024,10,0.00003800
4,ie,re,1000,1024,10,0.00003600
4,ie,it,1000,2048,11,0.00009800
4,ie,re,1000,2048,11,0.00008600
4,ie,it,1000,4096,12,0.00024600
4,ie,re,1000,4096,12,0.00024300
4,ie,it,1000,8192,13,0.00076100
4,ie,re,1000,8192,13,0.00082800
4,ie,it,1000,16384,14,0.00256600
4,ie,re,1000,16384,14,0.00231500
4,ie,it,1000,32768,15,0.00701000
4,ie,re,1000,32768,15,0.00696400
4,ie,it,1000,65536,16,0.02172200
4,ie,re,1000,65536,16,0.02108000
4,ie,it,1000,131072,17,0.06448400
4,ie,re,1000,131072,17,0.06463800
4,ie,it,1000,262144,18,0.18926400
4,ie,re,1000,262144,18,0.19968700
4,ie,it,1000,524288,19,0.57857800
4,ie,re,1000,524288,19,0.55063500
4,ie,it,1000,1048576,20,1.65540300
4,ie,re,1000,1048576,20,1.66527200
4,ie,it,1000,2097152,21,4.99006100
4,ie,re,1000,2097152,21,5.05374300
4,ie,it,1000,4194304,22,15.09129600
4,ie,re,1000,4194304,22,14.89216700
4,ie,it,1000,8388608,23,44.88213500
4,ie,re,1000,8388608,23,45.03505800
4,ie,it,1000,16777216,24,136.48098400
4,ie,re,1000,16777216,24,136.13593900
